City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yeniseysk,58.4497,92.1703,22.14,72,97,7.27,RU,1731184324
83,nova sintra,14.8667,-24.7167,80.02,76,69,10.31,CV,1731184326
84,orivesi,61.6777,24.3572,37.74,4,6,1.01,FI,1731184328
85,dalandzadgad,43.5708,104.425,38.89,34,35,6.06,MN,1731184330
86,ilulissat,69.2167,-51.1,23.02,80,75,10.36,GL,1731184332
87,margaret river,-33.95,115.0667,47.21,89,8,6.44,AU,1731184334
88,dudinka,69.4058,86.1778,1.36,91,76,8.28,RU,1731184336
89,saint-pierre,-21.3393,55.4781,74.88,73,20,3.44,RE,1731184338
90,klyuchi,52.2667,79.1667,26.4,61,100,22.15,RU,1731184340
91,buala,-8.145,159.5921,81.99,80,100,7.38,SB,1731184342
92,kavali,14.9167,79.9833,77.95,77,41,6.91,IN,1731184344
93,kingston,17.997,-76.7936,83.35,84,75,6.91,JM,1731184302
94,palos de la frontera,37.2346,-6.8947,64.29,77,100,4.0,ES,1731184348
95,grand falls-windsor,48.9332,-55.6649,32.97,79,97,18.52,CA,1731184350
96,iquitos,-3.7481,-73.2472,84.24,74,75,3.44,PE,1731184352
97,kovalam,8.3667,76.9967,80.69,94,40,2.3,IN,1731184354
98,loei,17.4167,101.5,64.08,88,1,0.67,TH,1731184356
99,temiskaming shores,47.4938,-79.7153,42.6,45,0,8.16,CA,1731184360
100,belmonte,-15.8631,-38.8828,78.03,86,37,11.72,BR,1731184362
101,wildwood,38.5828,-90.6629,53.4,86,100,6.91,US,1731184364
102,mossel bay,-34.1831,22.146,63.21,82,82,15.14,ZA,1731184366
103,greymouth,-42.4667,171.2,58.6,79,37,2.75,NZ,1731184368
104,ringim,12.1548,9.1619,73.47,22,72,8.61,NG,1731184370
105,enewetak,11.3474,162.3373,83.14,78,26,14.32,MH,1731184372
106,olonkinbyen,70.9221,-8.7187,33.87,99,100,14.99,SJ,1731184374
107,nuuk,64.1835,-51.7216,29.01,93,100,13.8,GL,1731184376
108,tiznit,29.5833,-9.5,76.57,20,77,3.53,MA,1731184378
109,queenstown,-31.8976,26.8753,56.89,87,100,4.74,ZA,1731184380
110,keflavik,64.0049,-22.5624,46.83,100,100,9.22,IS,1731184382
111,albany,42.6001,-73.9662,48.61,42,0,5.01,US,1731184384
112,punta arenas,-53.15,-70.9167,44.71,81,75,11.5,CL,1731184118
113,atafu village,-8.5421,-172.5159,82.38,71,60,5.95,TK,1731184388
114,tianchang,37.9981,114.0156,53.2,70,99,1.59,CN,1731184390
115,bandon,51.7469,-8.7425,54.99,94,99,5.66,IE,1731184392
116,fort bragg,35.139,-79.006,69.35,42,0,11.5,US,1731184266
117,polyarnyy,69.1989,33.4478,36.55,78,98,24.2,RU,1731184395
118,ginir,7.1333,40.7,58.86,67,28,3.29,ET,1731184397
119,utrik,11.2278,169.8474,83.21,80,84,22.1,MH,1731184399
120,hithadhoo,-0.6,73.0833,83.16,70,84,12.75,MV,1731184401
